trade_date,ticker,close,source_name,fetch_timestamp,price_basis
2023-02-06,QQQ,297.837646484375,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-02-07,QQQ,304.00848388671875,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-02-08,QQQ,298.6029052734375,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-02-09,QQQ,295.9638671875,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-02-10,QQQ,294.0213928222656,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-02-13,QQQ,298.73046875,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-02-14,QQQ,300.9378356933594,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-02-15,QQQ,303.2433776855469,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-02-16,QQQ,297.55316162109375,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-02-17,QQQ,295.4537353515625,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-02-21,QQQ,288.4588317871094,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-02-22,QQQ,288.67462158203125,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-02-23,QQQ,291.1959533691406,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-02-24,QQQ,286.3201599121094,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-02-27,QQQ,288.3705139160156,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-02-28,QQQ,287.99774169921875,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-03-01,QQQ,285.6824951171875,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-03-02,QQQ,288.0467834472656,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-03-03,QQQ,294.0017395019531,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-03-06,QQQ,294.3353271484375,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-03-07,QQQ,290.72509765625,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-03-08,QQQ,292.177001953125,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-03-09,QQQ,287.1147766113281,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-03-10,QQQ,283.0826110839844,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-03-13,QQQ,285.1820373535156,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-03-14,QQQ,291.7355651855469,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-03-15,QQQ,293.2659912109375,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-03-16,QQQ,300.9967041015625,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-03-17,QQQ,299.5741271972656,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-03-20,QQQ,300.6373291015625,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-03-21,QQQ,304.9311218261719,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-03-22,QQQ,300.78466796875,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-03-23,QQQ,304.3514404296875,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-03-24,QQQ,305.4715270996094,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-03-27,QQQ,303.378662109375,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-03-28,QQQ,301.76727294921875,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-03-29,QQQ,307.2696533203125,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-03-30,QQQ,310.1781311035156,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-03-31,QQQ,315.3365173339844,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-04-03,QQQ,314.5700988769531,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-04-04,QQQ,313.5090026855469,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-04-05,QQQ,310.41387939453125,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-04-06,QQQ,312.50677490234375,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
