date,BAMLH0A0HYM2
2014-01-10,2.1486685296752563
2014-01-17,2.1851014059821128
2014-01-24,2.372942200440248
2014-01-31,2.4350803158668444
2014-02-07,2.372425959110218
2014-02-14,2.2764681776974824
2014-02-21,2.285788257281613
2014-02-28,2.2229770522659886
2014-03-07,2.20410494781087
2014-03-14,2.349815763622967
2014-03-21,2.211820920618642
2014-03-28,2.149385730981958
2014-04-04,2.145545719994688
2014-04-11,2.222508739290893
2014-04-18,2.0735230302263616
2014-04-25,2.0686212826790884
2014-05-02,2.038085720104158
2014-05-09,2.08458281262065
2014-05-16,2.042703475739215
2014-05-23,2.013007455029959
2014-05-30,1.9703474057182127
2014-06-06,1.9408312722993704
2014-06-13,1.9535482935166621
2014-06-20,1.933264615797596
2014-06-27,1.9798184391100948
2014-07-04,1.9980871947341834
2014-07-11,2.102883057678063
2014-07-18,2.1562665132689682
2014-07-25,2.2134063457578974
2014-08-01,2.407195077996119
2014-08-08,2.432699416021282
2014-08-15,2.3761725668894993
2014-08-22,2.2997346992920726
2014-08-29,2.3007782068049996
2014-09-05,2.3826761656613726
2014-09-12,2.4541051357844266
2014-09-19,2.474879262013466
2014-09-26,2.6425914920806246
2014-10-03,2.723454978194888
2014-10-10,2.9859110009982373
2014-10-17,3.1042267522359928
2014-10-24,2.965179812362833
2014-10-31,2.8525565480214743
2014-11-07,2.827978158748936
2014-11-14,2.853919251928321
2014-11-21,2.8497756998826262
2014-11-28,2.92017182260249
2014-12-05,2.895927696968885
2014-12-12,3.301099999898462
2014-12-19,3.288192551103922
2014-12-26,3.2840385654854054
2015-01-02,3.4744839344184553
2015-01-09,3.5886820281656844
2015-01-16,3.7831617853215396
2015-01-23,3.709345378707283
2015-01-30,3.829074609413634
2015-02-06,3.695250787313253
2015-02-13,3.6067290201360467
2015-02-20,3.5216589212651668
2015-02-27,3.427870117530318
2015-03-06,3.449682997180856
2015-03-13,3.473999381992397
2015-03-20,3.406622872661742
2015-03-27,3.478393242745515
2015-04-03,3.5011299391697146
2015-04-10,3.387233288517315
2015-04-17,3.422848235687293
2015-04-24,3.38985864077507
2015-05-01,3.4412853603249793
2015-05-08,3.4804684781839326
2015-05-15,3.5247597069488155
2015-05-22,3.52904930322736
2015-05-29,3.5699091869239834
2015-06-05,3.5550097637400655
2015-06-12,3.5555978165809985
2015-06-19,3.676705403614255
2015-06-26,3.6834278254263397
2015-07-03,3.8216119743842984
2015-07-10,3.8792110581254997
2015-07-17,3.7374650473268205
2015-07-24,3.83904015303021
2015-07-31,3.9154966925481887
2015-08-07,4.011352563174075
2015-08-14,4.144319199569328
2015-08-21,4.670787044789524
2015-08-28,4.756793232524718
2015-09-04,4.858740918708176
2015-09-11,4.778397940107806
2015-09-18,4.7961232028813825
2015-09-25,4.8268622622350055
2015-10-02,4.860964262918664
2015-10-09,4.64265117530281
2015-10-16,4.5408948214958365
2015-10-23,4.423498326396828
2015-10-30,4.365579216073018
2015-11-06,4.310112737727552
2015-11-13,4.490349276952326
2015-11-20,4.425257880321579
2015-11-27,4.496109735116715
2015-12-04,4.509104563631772
2015-12-11,4.886999722063742
2015-12-18,4.9281921584453565
2015-12-25,4.881758024907992
2016-01-01,5.025898281566127
2016-01-08,5.325861297161091
2016-01-15,5.444267435782635
2016-01-22,5.446395462614467
2016-01-29,5.48831447425467
2016-02-05,5.59515083453913
2016-02-12,5.696937619020163
2016-02-19,5.540579897574956
2016-02-26,5.467562227554004
2016-03-04,5.223824845119767
2016-03-11,4.998032051624622
2016-03-18,4.792250668669667
2016-03-25,4.678182288085309
2016-04-01,4.632992507457285
2016-04-08,4.6583516753368475
2016-04-15,4.527920842552793
2016-04-22,4.42155774864426
2016-04-29,4.465604557601363
2016-05-06,4.4570382161447695
2016-05-13,4.500341769403801
2016-05-20,4.484028488384305
2016-05-27,4.438424463401132
2016-06-03,4.4846423676387355
2016-06-10,4.611150927190374
2016-06-17,4.725750364151973
2016-06-24,4.939655028496306
2016-07-01,4.625560644596128
2016-07-08,4.507316582486258
2016-07-15,4.370363688570443
2016-07-22,4.331016250650699
2016-07-29,4.34604848573745
2016-08-05,4.33737802981167
2016-08-12,4.325971291723079
2016-08-19,4.293436361442174
2016-08-26,4.356934412962974
2016-09-02,4.335613580823825
2016-09-09,4.550232559459138
2016-09-16,4.5498013729433335
2016-09-23,4.442655556903966
2016-09-30,4.469351456599773
2016-10-07,4.387895165298044
2016-10-14,4.419789667040606
2016-10-21,4.267991572076625
2016-10-28,4.287850972099901
2016-11-04,4.426967176587351
2016-11-11,4.112255477116148
2016-11-18,3.9503735959081254
2016-11-25,3.8458048718897997
