trade_date,ticker,close,source_name,fetch_timestamp,price_basis
2013-02-07,QQQ,67.300003,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-02-08,QQQ,67.989998,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-02-11,QQQ,68.010002,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-02-12,QQQ,67.730003,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-02-13,QQQ,67.970001,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-02-14,QQQ,67.949997,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-02-15,QQQ,67.75,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-02-19,QQQ,68.239998,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-02-20,QQQ,67.190002,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-02-21,QQQ,66.470001,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-02-22,QQQ,67.139999,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-02-25,QQQ,66.309998,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-02-26,QQQ,66.559998,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-02-27,QQQ,67.239998,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-02-28,QQQ,67.099998,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-03-01,QQQ,67.379997,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-03-04,QQQ,67.68,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-03-05,QQQ,68.68,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-03-06,QQQ,68.510002,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-03-07,QQQ,68.690002,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-03-08,QQQ,68.769997,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-03-11,QQQ,68.970001,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-03-12,QQQ,68.720001,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-03-13,QQQ,68.629997,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-03-14,QQQ,68.860001,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-03-15,QQQ,68.510002,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-03-18,QQQ,68.360001,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-03-19,QQQ,68.230003,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-03-20,QQQ,68.709999,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-03-21,QQQ,67.93,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-03-22,QQQ,68.589996,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-03-25,QQQ,68.339996,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-03-26,QQQ,68.709999,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-03-27,QQQ,68.800003,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-03-28,QQQ,68.970001,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-04-01,QQQ,68.5,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-04-02,QQQ,69.040001,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-04-03,QQQ,68.410004,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-04-04,QQQ,68.43,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-04-05,QQQ,67.860001,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-04-08,QQQ,68.220001,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-04-09,QQQ,68.68,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-04-10,QQQ,70.019997,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-04-11,QQQ,69.989998,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-04-12,QQQ,69.940002,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-04-15,QQQ,68.559998,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-04-16,QQQ,69.470001,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-04-17,QQQ,68.110001,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-04-18,QQQ,67.169998,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-04-19,QQQ,68.089996,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-04-22,QQQ,68.790001,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-04-23,QQQ,69.449997,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-04-24,QQQ,69.419998,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-04-25,QQQ,69.790001,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-04-26,QQQ,69.57,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-04-29,QQQ,70.209999,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-04-30,QQQ,70.720001,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-05-01,QQQ,70.389999,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-05-02,QQQ,71.279999,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-05-03,QQQ,72.120003,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-05-06,QQQ,72.400002,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-05-07,QQQ,72.360001,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-05-08,QQQ,72.709999,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-05-09,QQQ,72.610001,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-05-10,QQQ,73.050003,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-05-13,QQQ,73.139999,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-05-14,QQQ,73.519997,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-05-15,QQQ,73.669998,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-05-16,QQQ,73.589996,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-05-17,QQQ,74.300003,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-05-20,QQQ,74.190002,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-05-21,QQQ,74.269997,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-05-22,QQQ,73.620003,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-05-23,QQQ,73.449997,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-05-24,QQQ,73.410004,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-05-28,QQQ,73.889999,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-05-29,QQQ,73.540001,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-05-30,QQQ,73.93,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-05-31,QQQ,73.25,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
